Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
pid.inf.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:49 WEST","2013-10-24 15:49:49 WEST","2008-04-14 13:00:00 WEST",974,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/pid.inf.new",,,text/plain,new
polstore.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:50 WEST","2013-10-24 15:49:50 WEST","2008-04-14 13:00:00 WEST",105472,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/polstore.dll.new",,,application/x-msdownload,new
prncnfg.vbs,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/prncnfg.vbs",,,application/octet-stream,vbs
provthrd.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:50 WEST","2013-10-24 15:49:50 WEST","2013-10-24 15:44:31 WEST",237056,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/provthrd.dll.new",,,application/x-msdownload,new
ptilink.sys,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/ptilink.sys",,,application/octet-stream,sys
qagent.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:50 WEST","2013-10-24 15:49:50 WEST","2008-04-14 13:00:00 WEST",150528,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/qagent.dll.new",,,application/x-msdownload,new
query.exe,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/query.exe",,,application/octet-stream,exe
rasapi32.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:51 WEST","2013-10-24 15:49:51 WEST","2008-04-14 13:00:00 WEST",237056,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/rasapi32.dll.new",,,application/x-msdownload,new
rasmans.dll,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/rasmans.dll",,,application/octet-stream,dll
rassapi.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:51 WEST","2013-10-24 15:49:51 WEST","2008-04-14 13:00:00 WEST",16384,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/rassapi.dll.new",,,application/x-msdownload,new
rdchost.dll,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/rdchost.dll",,,application/octet-stream,dll
recover.exe.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:52 WEST","2013-10-24 15:49:52 WEST","2008-04-14 13:00:00 WEST",7168,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/recover.exe.new",,,application/x-msdownload,new
regsvr32.exe,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/regsvr32.exe",,,application/octet-stream,exe
resutils.dll.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:52 WEST","2013-10-24 15:49:52 WEST","2008-04-14 13:00:00 WEST",58880,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/resutils.dll.new",,,application/x-msdownload,new
rootmdm.sys,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/rootmdm.sys",,,application/octet-stream,sys
rsm.exe.new,"2008-04-14 13:00:00 WEST","2013-10-24 15:49:52 WEST","2013-10-24 15:49:52 WEST","2008-04-14 13:00:00 WEST",49152,Unallocated,Allocated,unknown,"/img_image.dd/WINDOWS/system32/dllcache/rsm.exe.new",,,application/x-msdownload,new
rsvp.exe,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_image.dd/WINDOWS/system32/dllcache/rsvp.exe",,,application/octet-stream,exe
